ID,N_0,N_max,r_max,t_lag,AIC
262,14.329,42.4,0.092,11322.691,72.774
263,3.424,20.494,0.521,2.894,-8.098
264,4.118,21.221,0.966,2.137,-35.073
265,21.242,-34.804,1.527,26.182,-7.493
266,15.973,143.982,0.452,6585.188,43.24
267,0.061,1.355,0.01,11.587,-21.432
268,-929.895,6979.469,0.009,-170901.986,-17.464
269,0.075,1.814,0.014,27.608,-25.34
270,0.782,215.06,-442.389,-174149.146,-5.197
271,0.99,0.623,10.852,-166.057,-10.364
272,1.06,-3011.845,-39.463,10437.716,-6.742
273,0.522,1.789,0.009,11.554,-33.537
274,0.587,1.615,0.013,25.19,-30.933
275,-7281.137,13.75,345.25,-120.552,-4.729
276,8.378,1234.242,7.687,6560.772,28.772
277,NaN,NaN,NaN,NaN,NaN
278,-0.264,14.561,0.394,23.561,-1.304
279,NaN,NaN,NaN,NaN,NaN
