"ID","Model","Sample Size (N)","AIC","AICc","ΔAICci","Wi"
13,"Quadratic",28,-71.43,-83.34,1.62,0.31
13,"Gompertz",28,-48.29,-58.79,26.17,0
15,"Cubic",28,-79.9,-97.28,93.76,0
15,"Quadratic",28,-37.66,-43.94,147.1,0
15,"Gompertz",28,-156.93,-191.04,0,1
17,"Cubic",28,-143.46,-174.65,0,0.57
17,"Quadratic",28,-143.52,-167.44,7.21,0.01
17,"Gompertz",28,-142.94,-174.02,0.63,0.42
18,"Cubic",28,-115.77,-140.94,0,0.57
18,"Quadratic",28,-105.36,-122.92,18.01,0
18,"Gompertz",28,-115.31,-140.37,0.57,0.43
19,"Cubic",28,-67.1,-81.68,0,0.8
19,"Quadratic",28,-67.6,-78.87,2.82,0.2
19,"Gompertz",28,-48.26,-58.75,22.94,0
21,"Cubic",28,-147.82,-179.95,10.03,0.01
21,"Quadratic",28,-127.29,-148.5,41.49,0
21,"Gompertz",28,-156.06,-189.99,0,0.99
22,"Cubic",21,-88.4,-116.02,29.83,0
22,"Quadratic",21,-55.48,-68.53,77.32,0
22,"Gompertz",21,-111.12,-145.85,0,1
23,"Cubic",28,-36.14,-43.99,116.96,0
23,"Quadratic",28,-27.7,-32.32,128.64,0
23,"Gompertz",28,-132.21,-160.96,0,1
24,"Cubic",26,-32.28,-39.97,0,1
24,"Quadratic",26,-13.91,-16.44,23.53,0
24,"Gompertz",26,0.78,0.96,40.93,0
25,"Cubic",26,-20.59,-25.49,0,1
25,"Quadratic",26,-6.11,-7.22,18.27,0
25,"Gompertz",26,3.57,4.42,29.91,0
26,"Cubic",22,-63.24,-81.83,0,1
26,"Quadratic",22,-39.26,-47.99,33.85,0
26,"Gompertz",22,-5.7,-7.38,74.45,0
27,"Cubic",23,-72.55,-92.7,0,1
27,"Quadratic",23,-42.72,-51.71,40.99,0
27,"Gompertz",23,2.59,3.31,96,0
28,"Cubic",23,-38.83,-49.61,0,1
28,"Quadratic",23,-16.17,-19.57,30.04,0
28,"Gompertz",23,11.16,14.26,63.87,0
29,"Cubic",23,-40.03,-51.15,78.36,0
29,"Quadratic",23,-25.24,-30.55,98.96,0
29,"Gompertz",23,-101.36,-129.51,0,1
30,"Cubic",21,-70.15,-92.08,0,1
30,"Quadratic",21,-61.71,-76.24,15.84,0
30,"Gompertz",21,-47.62,-62.5,29.58,0
31,"Cubic",25,-19.28,-24.11,0,1
31,"Quadratic",25,-10.69,-12.73,11.38,0
31,"Gompertz",25,5.08,6.34,30.45,0
32,"Cubic",23,-31.63,-40.42,0,1
32,"Quadratic",23,-21.66,-26.22,14.2,0
32,"Gompertz",23,-4.02,-5.14,35.28,0
33,"Cubic",23,-24.02,-30.7,16.73,0
33,"Quadratic",23,-12.31,-14.9,32.53,0
33,"Gompertz",23,-37.12,-47.43,0,1
34,"Cubic",32,-54.64,-64.75,0,1
34,"Quadratic",32,-43.71,-49.95,14.8,0
34,"Gompertz",32,-5.85,-6.93,57.82,0
35,"Cubic",25,-38.62,-48.28,0,1
35,"Quadratic",25,-21.6,-25.72,22.56,0
35,"Gompertz",25,-0.23,-0.29,47.99,0
36,"Cubic",23,-16.33,-20.86,0,1
36,"Quadratic",23,-1.3,-1.57,19.29,0
36,"Gompertz",23,15.42,19.71,40.57,0
37,"Cubic",23,-9.44,-12.06,0,1
37,"Quadratic",23,6,7.26,19.32,0
37,"Gompertz",23,25.53,32.62,44.68,0
38,"Cubic",23,-28.66,-36.62,26.95,0
38,"Quadratic",23,-12.85,-15.55,48.02,0
38,"Gompertz",23,-49.75,-63.57,0,1
39,"Cubic",21,-71.28,-93.56,0,1
39,"Quadratic",21,-50.94,-62.92,30.64,0
39,"Gompertz",21,-32.99,-43.3,50.27,0
40,"Cubic",22,-45.13,-58.4,0,1
40,"Quadratic",22,-24.19,-29.57,28.83,0
40,"Gompertz",22,-18.7,-24.2,34.19,0
41,"Cubic",32,-31.24,-37.03,21.75,0
41,"Quadratic",32,-23.92,-27.34,31.44,0
41,"Gompertz",32,-49.59,-58.78,0,1
42,"Cubic",21,-47.43,-62.26,19.93,0
42,"Quadratic",21,-32.03,-39.57,42.62,0
42,"Gompertz",21,-62.62,-82.19,0,1
43,"Cubic",23,-83.91,-107.22,0,1
43,"Quadratic",23,-41.79,-50.59,56.63,0
43,"Gompertz",23,-40.85,-52.2,55.02,0
44,"Cubic",12,-18.9,-32.4,0,1
44,"Quadratic",12,-13.64,-20.46,11.94,0
44,"Gompertz",12,10.88,18.64,51.04,0
45,"Cubic",17,-55.29,-78.33,0,1
45,"Quadratic",17,-36.9,-48.26,30.07,0
45,"Gompertz",17,12.28,17.4,95.73,0
46,"Cubic",15,-34.31,-51.47,0,1
46,"Quadratic",15,-27.51,-37.51,13.96,0
46,"Gompertz",15,15.05,22.58,74.04,0
47,"Cubic",15,-20.77,-31.16,0,0.97
47,"Quadratic",15,-17.61,-24.02,7.14,0.03
47,"Gompertz",15,18.57,27.85,59.01,0
48,"Cubic",14,-21.73,-33.8,0,1
48,"Quadratic",14,-12.09,-16.92,16.89,0
48,"Gompertz",14,15.61,24.28,58.08,0
49,"Cubic",15,-20.8,-31.2,0,1
49,"Quadratic",15,-13.69,-18.67,12.53,0
49,"Gompertz",15,13.24,19.86,51.06,0
50,"Cubic",13,-24.6,-39.98,5.95,0.05
50,"Quadratic",13,-16.02,-23.14,22.79,0
50,"Gompertz",13,-28.26,-45.93,0,0.95
51,"Cubic",12,-23.84,-40.87,51.79,0
51,"Quadratic",12,-15.47,-23.21,69.45,0
51,"Gompertz",12,-54.05,-92.66,0,1
52,"Cubic",13,-27.45,-44.61,0,1
52,"Quadratic",13,-19.78,-28.58,16.03,0
52,"Gompertz",13,-3.16,-5.14,39.47,0
53,"Cubic",14,-18.96,-29.49,0,0.99
53,"Quadratic",14,-14.29,-20.01,9.48,0.01
53,"Gompertz",14,4.24,6.6,36.09,0
54,"Cubic",14,-31.31,-48.71,0,1
54,"Quadratic",14,-25.65,-35.92,12.79,0
54,"Gompertz",14,-1.14,-1.77,46.94,0
55,"Cubic",16,-38.57,-56.1,0,1
55,"Quadratic",16,-24.38,-32.51,23.59,0
55,"Gompertz",16,13.21,19.22,75.32,0
56,"Cubic",16,-6.86,-9.98,0,0.89
56,"Quadratic",16,-4.41,-5.88,4.1,0.11
56,"Gompertz",16,4.71,6.85,16.83,0
57,"Cubic",16,-10.55,-15.35,0,0.99
57,"Quadratic",16,-3.08,-4.11,11.24,0
57,"Gompertz",16,-4.17,-6.06,9.29,0.01
58,"Cubic",17,-12.85,-18.2,0.86,0.39
58,"Quadratic",17,-14.58,-19.06,0,0.61
58,"Gompertz",17,37.98,53.8,72.87,0
59,"Cubic",16,-12.57,-18.29,50.27,0
59,"Quadratic",16,-1.98,-2.63,65.92,0
59,"Gompertz",16,-47.13,-68.56,0,1
60,"Cubic",15,-11.83,-17.74,0,1
60,"Quadratic",15,-5.32,-7.25,10.49,0
60,"Gompertz",15,13.11,19.67,37.41,0
61,"Cubic",14,-27.71,-43.11,0,1
61,"Quadratic",14,-22.54,-31.56,11.55,0
61,"Gompertz",14,-4.33,-6.73,36.37,0
62,"Cubic",13,-23.7,-38.5,0,1
62,"Quadratic",13,-14.02,-20.24,18.26,0
62,"Gompertz",13,12.33,20.04,58.55,0
63,"Cubic",16,-8.68,-12.63,0,0.93
63,"Quadratic",16,-5.57,-7.42,5.21,0.07
63,"Gompertz",16,4.67,6.8,19.43,0
64,"Cubic",15,-9.44,-14.16,0,0.98
64,"Quadratic",15,-4.52,-6.16,8,0.02
64,"Gompertz",15,21.84,32.76,46.92,0
65,"Cubic",16,-20.8,-30.25,7.27,0.03
65,"Quadratic",16,-13.66,-18.22,19.3,0
65,"Gompertz",16,-25.79,-37.52,0,0.97
66,"Cubic",14,-12.83,-19.96,0,0.92
66,"Quadratic",14,-10.7,-14.98,4.98,0.08
66,"Gompertz",14,10.57,16.44,36.39,0
67,"Cubic",16,-5.23,-7.61,0,0.88
67,"Quadratic",16,-2.76,-3.68,3.93,0.12
67,"Gompertz",16,6.44,9.38,16.99,0
68,"Cubic",16,-4.5,-6.54,0,1
68,"Quadratic",16,4.26,5.68,12.22,0
68,"Gompertz",16,19.96,29.04,35.58,0
69,"Cubic",14,-5.04,-7.84,0,1
69,"Quadratic",14,1.85,2.59,10.43,0
69,"Gompertz",14,11.94,18.57,26.41,0
70,"Cubic",15,24.12,36.19,0.52,0.44
70,"Quadratic",15,26.16,35.67,0,0.56
70,"Gompertz",15,36.2,54.3,18.63,0
71,"Cubic",17,-12.27,-17.39,0,1
71,"Quadratic",17,-4.51,-5.9,11.49,0
71,"Gompertz",17,15.58,22.07,39.46,0
72,"Cubic",17,-16.54,-23.43,0,1
72,"Quadratic",17,-9.92,-12.97,10.46,0
72,"Gompertz",17,9.56,13.54,36.98,0
73,"Cubic",15,-24.23,-36.34,0,1
73,"Quadratic",15,-16.79,-22.9,13.44,0
73,"Gompertz",15,-2.3,-3.46,32.89,0
74,"Cubic",16,-15.68,-22.81,0,0.99
74,"Quadratic",16,-10.65,-14.2,8.61,0.01
74,"Gompertz",16,7.59,11.05,33.86,0
75,"Cubic",16,-16.41,-23.87,0,1
75,"Quadratic",16,-10.05,-13.41,10.46,0
75,"Gompertz",16,6.39,9.3,33.17,0
76,"Cubic",15,-29.19,-43.79,0,1
76,"Quadratic",15,-19.93,-27.18,16.61,0
76,"Gompertz",15,-0.09,-0.13,43.66,0
77,"Cubic",16,-33.33,-48.48,0,1
77,"Quadratic",16,-22.08,-29.44,19.04,0
77,"Gompertz",16,-4.5,-6.55,41.93,0
78,"Cubic",18,4.65,6.43,0,0.74
78,"Quadratic",18,6.63,8.53,2.1,0.26
78,"Gompertz",18,13.12,18.17,11.74,0
79,"Cubic",18,5.31,7.35,0,0.95
79,"Quadratic",18,10.42,13.39,6.04,0.05
79,"Gompertz",18,17.64,24.43,17.08,0
80,"Cubic",16,-20.49,-29.81,0,1
80,"Quadratic",16,-13.61,-18.14,11.66,0
80,"Gompertz",16,4.08,5.94,35.74,0
81,"Cubic",17,5.86,8.3,0,0.97
81,"Quadratic",17,11.89,15.55,7.25,0.03
81,"Gompertz",17,19.72,27.93,19.62,0
82,"Cubic",17,-2.06,-2.92,0,0.95
82,"Quadratic",17,2.36,3.09,6.01,0.05
82,"Gompertz",17,7.75,10.98,13.9,0
83,"Cubic",15,-21.06,-31.6,0,1
83,"Quadratic",15,-15.52,-21.17,10.43,0
83,"Gompertz",15,-3.93,-5.9,25.7,0
84,"Cubic",15,-16.28,-24.42,0,1
84,"Quadratic",15,-9.33,-12.72,11.7,0
84,"Gompertz",15,7.46,11.2,35.62,0
85,"Cubic",17,-3.44,-4.88,0,0.74
85,"Quadratic",17,-2.1,-2.74,2.14,0.26
85,"Gompertz",17,12.29,17.41,22.29,0
86,"Cubic",17,-9.53,-13.51,0,0.98
86,"Quadratic",17,-4.31,-5.63,7.87,0.02
86,"Gompertz",17,14.45,20.47,33.98,0
87,"Cubic",17,-13.02,-18.44,0,1
87,"Quadratic",17,-5.61,-7.34,11.1,0
87,"Gompertz",17,11.72,16.6,35.04,0
89,"Cubic",54,-66.66,-73.46,0,0.92
89,"Quadratic",54,-63.59,-68.68,4.78,0.08
89,"Gompertz",54,33.91,37.37,110.83,0
90,"Cubic",63,-121.6,-132.08,84.23,0
90,"Quadratic",63,-85.9,-91.72,124.59,0
90,"Gompertz",63,-199.15,-216.31,0,1
91,"Cubic",66,-129.48,-140.09,0,1
91,"Quadratic",66,-121.25,-129.07,11.02,0
91,"Gompertz",66,-46.19,-49.98,90.11,0
92,"Cubic",57,-21.7,-23.79,0,0.89
92,"Quadratic",57,-18.31,-19.7,4.09,0.11
92,"Gompertz",57,20.84,22.84,46.63,0
93,"Cubic",9,-34.48,-77.57,0,0.99
93,"Quadratic",9,-18.05,-32.5,45.07,0
93,"Gompertz",9,-30.14,-67.81,9.76,0.01
94,"Cubic",8,-9.2,-24.54,8.8,0.01
94,"Quadratic",8,-5.12,-10.24,23.09,0
94,"Gompertz",8,-12.5,-33.34,0,0.99
95,"Cubic",14,-22.93,-35.67,0,1
95,"Quadratic",14,-6.3,-8.81,26.86,0
95,"Gompertz",14,37.75,58.72,94.39,0
96,"Cubic",11,-18.3,-33.56,0,1
96,"Quadratic",11,-4.93,-7.75,25.8,0
96,"Gompertz",11,29.85,54.73,88.29,0
97,"Cubic",9,-11.65,-26.22,0,0.96
97,"Quadratic",9,-10.91,-19.63,6.58,0.04
97,"Gompertz",9,21.43,48.22,74.44,0
98,"Cubic",9,-24.14,-54.31,0,1
98,"Quadratic",9,-13.99,-25.18,29.13,0
98,"Gompertz",9,21.36,48.07,102.38,0
99,"Cubic",10,-30.9,-61.79,0.84,0.4
99,"Quadratic",10,-22.34,-37.24,25.39,0
99,"Gompertz",10,-31.32,-62.63,0,0.6
100,"Cubic",6,-19.34,-116.03,0,1
100,"Quadratic",6,-19.3,-57.9,58.12,0
100,"Gompertz",6,14.71,88.24,204.27,0
101,"Cubic",13,-26.37,-42.84,0,0.78
101,"Quadratic",13,-11.98,-17.3,25.54,0
101,"Gompertz",13,-24.77,-40.26,2.58,0.22
102,"Cubic",13,-39.4,-64.03,0,1
102,"Quadratic",13,-29.16,-42.12,21.91,0
102,"Gompertz",13,31.27,50.81,114.84,0
103,"Cubic",12,-43.41,-74.42,0,1
103,"Quadratic",12,-17.58,-26.36,48.05,0
103,"Gompertz",12,30.05,51.52,125.94,0
104,"Cubic",9,-19.28,-43.38,0,1
104,"Quadratic",9,-16.93,-30.47,12.91,0
104,"Gompertz",9,24.12,54.26,97.65,0
105,"Cubic",10,-10.78,-21.56,44.79,0
105,"Quadratic",10,-9.03,-15.04,51.31,0
105,"Gompertz",10,-33.18,-66.36,0,1
106,"Cubic",7,-12.62,-44.17,0,1
106,"Quadratic",7,-14.4,-33.59,10.57,0
106,"Gompertz",7,16.76,58.66,102.82,0
107,"Cubic",13,-37.36,-60.71,12.85,0
107,"Quadratic",13,-11.45,-16.54,57.02,0
107,"Gompertz",13,-45.27,-73.56,0,1
108,"Cubic",12,-24.9,-42.69,1.42,0.3
108,"Quadratic",12,-26.67,-40.01,4.1,0.08
108,"Gompertz",12,-25.73,-44.11,0,0.62
109,"Cubic",11,-32.84,-60.2,0,0.97
109,"Quadratic",11,-33.77,-53.06,7.14,0.03
109,"Gompertz",11,28.71,52.63,112.84,0
110,"Cubic",9,-27.07,-60.91,0,1
110,"Quadratic",9,-25.25,-45.46,15.45,0
110,"Gompertz",9,24.64,55.44,116.34,0
111,"Cubic",11,-8.53,-15.64,34.4,0
111,"Quadratic",11,-10.08,-15.84,34.2,0
111,"Gompertz",11,-27.29,-50.04,0,1
112,"Cubic",7,-5.52,-19.33,10.07,0.01
112,"Quadratic",7,-7.32,-17.07,12.33,0
112,"Gompertz",7,-8.4,-29.4,0,0.99
113,"Cubic",10,-32.01,-64.01,0,1
113,"Quadratic",10,-27.63,-46.06,17.95,0
113,"Gompertz",10,-23.45,-46.9,17.11,0
114,"Cubic",13,-20.89,-33.94,0,1
114,"Quadratic",13,-13.73,-19.84,14.11,0
114,"Gompertz",13,35.24,57.27,91.21,0
115,"Cubic",12,-25.85,-44.32,0,1
115,"Quadratic",12,-21.57,-32.36,11.96,0
115,"Gompertz",12,33.29,57.07,101.39,0
116,"Cubic",9,-25.25,-56.81,0,1
116,"Quadratic",9,-18.64,-33.55,23.26,0
116,"Gompertz",9,26.12,58.77,115.58,0
117,"Cubic",11,-4.5,-8.26,70.32,0
117,"Quadratic",11,-4.16,-6.53,72.05,0
117,"Gompertz",11,-42.86,-78.58,0,1
118,"Cubic",7,-5.56,-19.45,0,0.94
118,"Quadratic",7,-6.04,-14.1,5.35,0.06
118,"Gompertz",7,17.48,61.2,80.65,0
119,"Cubic",11,-37.8,-69.3,14.66,0
119,"Quadratic",11,-18.52,-29.1,54.86,0
119,"Gompertz",11,-45.8,-83.96,0,1
120,"Cubic",13,-19.63,-31.9,0,1
120,"Quadratic",13,-12.56,-18.15,13.75,0
120,"Gompertz",13,30.19,49.06,80.95,0
121,"Cubic",12,-41.67,-71.44,0,1
121,"Quadratic",12,-38.07,-57.11,14.33,0
121,"Gompertz",12,27.32,46.84,118.28,0
122,"Cubic",8,-38.6,-102.93,0,0.94
122,"Quadratic",8,-26.5,-53.01,49.92,0
122,"Gompertz",8,-36.52,-97.38,5.56,0.06
123,"Cubic",10,-14.97,-29.93,11.57,0
123,"Quadratic",10,-3.8,-6.33,35.17,0
123,"Gompertz",10,-20.75,-41.5,0,1
124,"Cubic",6,-16.41,-98.48,0,1
124,"Quadratic",6,-13.16,-39.49,58.99,0
124,"Gompertz",6,12.41,74.44,172.93,0
125,"Cubic",13,-21.12,-34.32,0,1
125,"Quadratic",13,-2.93,-4.23,30.09,0
125,"Gompertz",13,33.76,54.85,89.17,0
126,"Cubic",11,-18.86,-34.59,0,0.85
126,"Quadratic",11,-19.84,-31.17,3.42,0.15
126,"Gompertz",11,28.72,52.65,87.24,0
127,"Cubic",12,-21.7,-37.2,0,0.74
127,"Quadratic",12,-23.38,-35.08,2.13,0.26
127,"Gompertz",12,33.52,57.47,94.67,0
128,"Cubic",9,-12.29,-27.64,0,1
128,"Quadratic",9,-7.54,-13.57,14.08,0
128,"Gompertz",9,26.91,60.56,88.2,0
129,"Cubic",10,-28.58,-57.16,5.86,0.05
129,"Quadratic",10,-12.26,-20.44,42.58,0
129,"Gompertz",10,-31.51,-63.02,0,0.95
130,"Cubic",6,-14.56,-87.36,0,1
130,"Quadratic",6,-12.46,-37.39,49.97,0
130,"Gompertz",6,5.17,31.01,118.37,0
131,"Cubic",13,-23.35,-37.95,0,1
131,"Quadratic",13,-1.02,-1.48,36.47,0
131,"Gompertz",13,34.03,55.3,93.25,0
132,"Cubic",12,-14.51,-24.88,0,0.99
132,"Quadratic",12,-10.05,-15.07,9.81,0.01
132,"Gompertz",12,27.74,47.55,72.42,0
133,"Cubic",10,-23.96,-47.92,0,1
133,"Quadratic",10,-6.75,-11.25,36.67,0
133,"Gompertz",10,26.98,53.97,101.89,0
134,"Cubic",8,-20.31,-54.16,0,1
134,"Quadratic",8,-13.33,-26.67,27.5,0
134,"Gompertz",8,19.97,53.24,107.41,0
135,"Cubic",10,-16.81,-33.62,16.38,0
135,"Quadratic",10,-12.02,-20.03,29.98,0
135,"Gompertz",10,-25,-50.01,0,1
136,"Cubic",6,-17.27,-103.61,11.19,0
136,"Quadratic",6,-17.13,-51.4,63.41,0
136,"Gompertz",6,-19.13,-114.81,0,1
137,"Cubic",14,-36.94,-57.47,0,0.92
137,"Quadratic",14,-17.67,-24.74,32.73,0
137,"Gompertz",14,-33.8,-52.57,4.9,0.08
138,"Cubic",12,-27.82,-47.7,0,1
138,"Quadratic",12,-17.3,-25.95,21.75,0
138,"Gompertz",12,26.7,45.76,93.46,0
139,"Cubic",9,-21.74,-48.91,0,1
139,"Quadratic",9,-17.72,-31.9,17.01,0
139,"Gompertz",9,20.7,46.58,95.49,0
140,"Cubic",6,-14.02,-84.11,0,0.98
140,"Quadratic",6,-14.89,-44.68,39.42,0
140,"Gompertz",6,-12.62,-75.75,8.35,0.01
141,"Cubic",9,-12.69,-28.55,28.74,0
141,"Quadratic",9,0.9,1.63,58.92,0
141,"Gompertz",9,-25.46,-57.29,0,1
142,"Cubic",7,-15.84,-55.43,9.84,0.01
142,"Quadratic",7,0.29,0.68,65.95,0
142,"Gompertz",7,-18.65,-65.27,0,0.99
143,"Cubic",13,-23.82,-38.71,0,1
143,"Quadratic",13,1.51,2.18,40.88,0
143,"Gompertz",13,36.13,58.71,97.42,0
144,"Cubic",12,-14.57,-24.98,0,0.99
144,"Quadratic",12,-10.73,-16.1,8.88,0.01
144,"Gompertz",12,29.98,51.4,76.38,0
145,"Cubic",9,-23.3,-52.43,0,1
145,"Quadratic",9,-15.47,-27.84,24.59,0
145,"Gompertz",9,24.25,54.57,107,0
146,"Cubic",9,-25.66,-57.72,0,1
146,"Quadratic",9,-14.75,-26.54,31.18,0
146,"Gompertz",9,21.79,49.03,106.75,0
147,"Cubic",10,-28.95,-57.9,7.29,0.03
147,"Quadratic",10,-7.56,-12.6,52.59,0
147,"Gompertz",10,-32.6,-65.19,0,0.98
148,"Cubic",14,-23.49,-36.54,0,0.83
148,"Quadratic",14,-0.8,-1.12,35.42,0
148,"Gompertz",14,-21.45,-33.37,3.17,0.17
149,"Cubic",7,-15.4,-53.92,17.35,0
149,"Quadratic",7,-2.39,-5.59,65.68,0
149,"Gompertz",7,-20.36,-71.27,0,1
150,"Cubic",10,-15.41,-30.81,0,1
150,"Quadratic",10,-5.85,-9.74,21.07,0
150,"Gompertz",10,26.24,52.49,83.3,0
151,"Cubic",9,-16.31,-36.69,0,1
151,"Quadratic",9,-14.06,-25.3,11.38,0
151,"Gompertz",9,24.53,55.19,91.88,0
152,"Cubic",8,-22.27,-59.39,0,1
152,"Quadratic",8,-16.74,-33.48,25.91,0
152,"Gompertz",8,19.09,50.89,110.28,0
153,"Cubic",10,-32.05,-64.09,0,1
153,"Quadratic",10,-7.96,-13.26,50.83,0
153,"Gompertz",10,23.86,47.72,111.81,0
154,"Cubic",7,-14.33,-50.15,13.74,0
154,"Quadratic",7,-2.94,-6.86,57.03,0
154,"Gompertz",7,-18.25,-63.89,0,1
155,"Cubic",13,-36.7,-59.64,12.96,0
155,"Quadratic",13,-11.23,-16.23,56.37,0
155,"Gompertz",13,-44.68,-72.6,0,1
156,"Cubic",12,-22.12,-37.92,0,0.99
156,"Quadratic",12,-18.44,-27.66,10.25,0.01
156,"Gompertz",12,27.4,46.97,84.88,0
157,"Cubic",8,-14.65,-39.06,0,1
157,"Quadratic",8,-13.03,-26.07,12.99,0
157,"Gompertz",8,20.11,53.63,92.69,0
158,"Cubic",8,-18.5,-49.32,6.88,0.03
158,"Quadratic",8,-5.92,-11.84,44.37,0
158,"Gompertz",8,-21.08,-56.2,0,0.97
159,"Cubic",9,-22.14,-49.82,0,1
159,"Quadratic",9,-2.67,-4.81,45.01,0
159,"Gompertz",9,23.49,52.86,102.68,0
160,"Cubic",6,-9.9,-59.4,0,1
160,"Quadratic",6,-0.38,-1.13,58.27,0
160,"Gompertz",6,-0.13,-0.76,58.64,0
161,"Cubic",11,-18.16,-33.29,0,1
161,"Quadratic",11,3.65,5.74,39.04,0
161,"Gompertz",11,35.17,64.47,97.76,0
162,"Cubic",11,-12.66,-23.22,7.25,0.03
162,"Quadratic",11,-1.77,-2.78,27.69,0
162,"Gompertz",11,-16.62,-30.47,0,0.97
163,"Cubic",9,-17.08,-38.44,20.89,0
163,"Quadratic",9,-6.1,-10.97,48.35,0
163,"Gompertz",9,-26.37,-59.33,0,1
164,"Cubic",10,-40.03,-80.05,0,1
164,"Quadratic",10,-7.21,-12.02,68.03,0
164,"Gompertz",10,27.5,55,135.06,0
165,"Cubic",7,-6.74,-23.59,0,1
165,"Quadratic",7,-3.9,-9.1,14.49,0
165,"Gompertz",7,17.6,61.59,85.18,0
166,"Cubic",6,-19.68,-118.08,5.77,0.05
166,"Quadratic",6,-19.69,-59.08,64.77,0
166,"Gompertz",6,-20.64,-123.85,0,0.95
167,"Cubic",7,-45.64,-159.73,0,1
167,"Quadratic",7,-27.48,-64.11,95.62,0
167,"Gompertz",7,-16.29,-57.03,102.7,0
168,"Cubic",6,-24.27,-145.63,0,1
168,"Quadratic",6,-24.66,-73.98,71.64,0
168,"Gompertz",6,13.73,82.36,227.99,0
169,"Cubic",6,-9.4,-56.42,0,1
169,"Quadratic",6,-8.61,-25.82,30.6,0
169,"Gompertz",6,13.15,78.93,135.35,0
170,"Cubic",6,-30.51,-183.07,0,1
170,"Quadratic",6,-25.96,-77.88,105.19,0
170,"Gompertz",6,5.06,30.38,213.45,0
171,"Cubic",9,-13.77,-30.98,0,1
171,"Quadratic",9,-7.28,-13.11,17.87,0
171,"Gompertz",9,17.1,38.47,69.45,0
172,"Cubic",9,-32.82,-73.83,0,1
172,"Quadratic",9,-33.63,-60.54,13.3,0
172,"Gompertz",9,9.09,20.46,94.29,0
173,"Cubic",6,-21.31,-127.86,0,0.91
173,"Quadratic",6,-14.91,-44.72,83.14,0
173,"Gompertz",6,-20.55,-123.29,4.57,0.09
174,"Cubic",6,-16.88,-101.27,1,0.38
174,"Quadratic",6,-18.71,-56.12,46.15,0
174,"Gompertz",6,-17.05,-102.27,0,0.62
175,"Cubic",6,-25.4,-152.4,0,1
175,"Quadratic",6,-27.32,-81.95,70.45,0
175,"Gompertz",6,8.42,50.52,202.92,0
176,"Cubic",7,-9.75,-34.11,29.13,0
176,"Quadratic",7,-6.86,-16.02,47.22,0
176,"Gompertz",7,-18.07,-63.24,0,1
177,"Cubic",7,-31.13,-108.96,0,1
177,"Quadratic",7,-29.59,-69.04,39.92,0
177,"Gompertz",7,6.11,21.4,130.36,0
178,"Cubic",7,-27.3,-95.54,0,1
178,"Quadratic",7,-18.94,-44.18,51.35,0
178,"Gompertz",7,4.29,15.02,110.56,0
179,"Cubic",5,-26.43,-Inf,NA,NA
179,"Quadratic",5,-17.38,-86.91,Inf,NA
179,"Gompertz",5,12.13,Inf,Inf,NA
180,"Cubic",5,-15.75,-Inf,NA,NA
180,"Quadratic",5,-9.42,-47.12,Inf,NA
180,"Gompertz",5,15.2,Inf,Inf,NA
181,"Cubic",5,-22.28,-Inf,NA,NA
181,"Quadratic",5,-3.26,-16.31,Inf,NA
181,"Gompertz",5,-41.65,-Inf,NA,NA
182,"Cubic",7,-19.37,-67.78,0,1
182,"Quadratic",7,-15.55,-36.28,31.5,0
182,"Gompertz",7,14.08,49.27,117.05,0
183,"Cubic",7,-23.05,-80.68,0,1
