"ID","Model","Sample Size (N)","AIC","AICc","ΔAICci","Wi"
155,"Gompertz",13,-44.68,-72.6,0,1
156,"Cubic",12,-22.12,-37.92,0,0.99
157,"Cubic",8,-14.65,-39.06,0,1
158,"Gompertz",8,-21.08,-56.2,0,0.97
159,"Cubic",9,-22.14,-49.82,0,1
160,"Cubic",6,-9.9,-59.4,0,1
161,"Cubic",11,-18.16,-33.29,0,1
162,"Gompertz",11,-16.62,-30.47,0,0.97
163,"Gompertz",9,-26.37,-59.33,0,1
164,"Cubic",10,-40.03,-80.05,0,1
165,"Cubic",7,-6.74,-23.59,0,1
166,"Gompertz",6,-20.64,-123.85,0,0.95
167,"Cubic",7,-45.64,-159.73,0,1
168,"Cubic",6,-24.27,-145.63,0,1
169,"Cubic",6,-9.4,-56.42,0,1
170,"Cubic",6,-30.51,-183.07,0,1
171,"Cubic",9,-13.77,-30.98,0,1
172,"Cubic",9,-32.82,-73.83,0,1
173,"Cubic",6,-21.31,-127.86,0,0.91
174,"Gompertz",6,-17.05,-102.27,0,0.62
175,"Cubic",6,-25.4,-152.4,0,1
176,"Gompertz",7,-18.07,-63.24,0,1
177,"Cubic",7,-31.13,-108.96,0,1
178,"Cubic",7,-27.3,-95.54,0,1
182,"Cubic",7,-19.37,-67.78,0,1
183,"Cubic",7,-23.05,-80.68,0,1
184,"Cubic",7,-18.04,-63.13,0,1
188,"Cubic",6,-20.27,-121.6,0,1
189,"Cubic",6,-21.14,-126.85,0,1
190,"Cubic",6,-8.97,-53.83,0,1
192,"Cubic",6,-7.65,-45.9,0,1
193,"Cubic",6,-18.85,-113.13,0,1
194,"Cubic",7,-38.08,-133.28,0,1
195,"Cubic",7,-18.6,-65.09,0,1
196,"Cubic",7,-20.57,-71.98,0,1
197,"Cubic",6,-20.11,-120.68,0,1
198,"Cubic",7,-9.72,-34.03,0,1
204,"Cubic",7,-7.3,-25.53,0,1
205,"Cubic",5,-3.74,-13.09,0,1
208,"Gompertz",6,15.34,-61.35,0,1
209,"Cubic",5,-18.47,-110.82,0,1
213,"Gompertz",6,17.82,-71.3,0,1
214,"Quadratic",6,-2.47,7.4,0,0.53
215,"Cubic",19,-50.69,-304.11,0,1
216,"Gompertz",13,-33.6,-201.63,0,1
217,"Quadratic",7,-9.22,-11.67,0,0.72
218,"Gompertz",10,-32.97,-53.57,0,1
219,"Cubic",17,-181.43,-634.99,0,1
220,"Gompertz",13,-70.44,-140.87,0,1
221,"Gompertz",9,-56.41,-79.91,0,0.91
222,"Cubic",14,-22.21,-36.09,0,1
223,"Gompertz",11,-31.91,-71.81,0,1
224,"Cubic",16,-164.97,-256.62,0,0.98
225,"Cubic",17,-41.14,-75.43,0,1
226,"Gompertz",12,-22.3,-32.44,0,0.99
227,"Gompertz",9,-31.88,-45.16,0,1
228,"Cubic",10,-99.72,-170.94,0,0.82
229,"Cubic",16,-168.27,-378.61,0,1
230,"Gompertz",17,-51.2,-102.4,0,1
231,"Gompertz",11,-42.29,-61.52,0,1
232,"Gompertz",8,-26.71,-37.84,0,1
233,"Gompertz",5,-29.05,-53.26,0,1
234,"Gompertz",8,-66.92,-178.44,0,1
236,"Gompertz",10,-45.72,-121.92,0,1
237,"Gompertz",8,-19.77,-30.75,0,0.6
238,"Cubic",9,-8.89,-17.79,0,0.86
239,"Quadratic",9,4.42,8.85,0,0.98
240,"Cubic",19,-210.37,-473.34,0,0.78
241,"Gompertz",17,-68.08,-153.18,0,1
242,"Gompertz",8,-27.8,-37.72,0,0.99
243,"Cubic",8,-10.16,-14.39,0,0.96
244,"Cubic",7,-5.7,-15.21,0,1
245,"Cubic",18,-193.59,-516.24,0,0.9
246,"Gompertz",14,-50.87,-178.05,0,1
247,"Gompertz",7,-25.56,-35.39,0,1
248,"Gompertz",8,-27.92,-43.44,0,1
249,"Gompertz",8,-53.57,-187.5,0,1
250,"Cubic",10,-22.59,-60.25,0,1
251,"Cubic",16,-17.26,-46.04,0,1
252,"Cubic",18,-20.6,-41.2,0,1
253,"Cubic",16,-18.04,-26.23,0,1
254,"Cubic",13,-17.82,-24.68,0,1
255,"Cubic",9,-30.64,-44.56,0,0.86
256,"Gompertz",20,-66.5,-108.07,0,1
257,"Gompertz",14,-11.34,-25.52,0,0.65
258,"Gompertz",17,-27.81,-37.08,0,0.84
259,"Gompertz",15,-20.86,-32.45,0,0.97
260,"Cubic",13,-18.17,-25.74,0,0.98
261,"Gompertz",9,-15.62,-23.43,0,0.98
262,"Cubic",19,-26.36,-42.84,0,0.91
263,"Gompertz",12,-8.1,-18.22,0,0.95
264,"Gompertz",13,-35.07,-47.6,0,1
265,"Gompertz",12,-7.49,-12.85,0,0.61
266,"Cubic",10,-19.28,-31.33,0,0.99
267,"Cubic",7,-21.63,-37.08,0,0.47
268,"Cubic",7,-25.95,-51.9,0,0.98
269,"Cubic",6,-34.97,-122.39,0,1
270,"Cubic",6,-32.57,-114,0,1
271,"Cubic",7,-24.09,-144.55,0,1
272,"Cubic",7,-19.76,-118.56,0,1
273,"Gompertz",7,-33.54,-117.38,0,0.9
274,"Gompertz",7,-30.93,-108.26,0,0.98
275,"Cubic",7,-5.14,-17.98,0,0.67
276,"Cubic",7,1.45,5.07,0,0.81
278,"Cubic",5,-12.92,-45.23,0,1
